#delta	avgResponseTime	sigma(avgResponseTime)	servUtil	sigma(servUtil)
0.01	0.176492470392354	0.0012592257288518993	0.600152224970312	0.0026834104846991664
0.05	0.20409929842096997	0.0010470210467658759	0.61619321126624	0.001691557840058841
0.1	0.445252910280198	0.016700975836514132	0.7757531162865361	0.0054690189578934624
0.5	3097.4523182235	17.97417516821247	0.999949243207314	4.8646230601041885e-05
1.0	3987.86467564946	8.339166406925171	0.999979597976564	1.832338527017586e-05
