#lambda	UtilizationN	sigma(UtilizationN)	UtilizationC1	sigma(UtilizationC1)	UtilizationC2	sigma(UtilizationC2)	UtilizationD	sigma(UtilizationD)	ResponseTime	sigma(ResponseTime)
6.0	0.29913961498826	0.0013624030365036973	0.30002096706869597	0.002853421870440172	0.298314434135882	0.0031609254700040823	0.39805991779147	0.0012886591535100356	0.32473269310219	0.00262235985861585
10.0	0.5010462603971241	0.0017675979617902213	0.5019546852482659	0.002091518480845425	0.5017533986685659	0.0018971331861183563	0.668033567282832	0.002855280726745306	0.5038050669151101	0.0038443397420968657
11.0	0.551126937502654	0.0012052526127852919	0.5482558632602801	0.002560289807088949	0.550036012278224	0.004223294356130037	0.7314582345759161	0.001575033289697961	0.580638980200014	0.002998325322135534
12.0	0.599478682737486	0.0010947807323422997	0.600852586798412	0.003128883837067832	0.598127164797374	0.00216688877915903	0.8001630883905679	0.0035599897502810703	0.7093072274804479	0.006503871795322591
