#delta	MeanResponseTime	sigma(MeanResponseTime)	MaxResponseTime	sigma(MaxResponseTime)	UtilizationL	sigma(UtilizationL)	UtilizationH	sigma(UtilizationH)
0.0	0.250821344844528	0.0016346851653588946	2.8215078764455996	0.3956077951870905	0.599963183548438	0.0029900875227670816	0.60046554629686	0.004875149301348858
1.0	0.27753989531994	0.0025334658276260093	3.0831235667786	0.36466824930427505	0.499445475731644	0.0032852532948581654	0.7018451709718859	0.002766537653382601
2.0	0.38626038383095	0.004269348718851966	4.109094623013	0.5698227261644091	0.400895848275726	0.0027505133581667875	0.7999573444199279	0.0019414571479554237
3.0	0.8123229215379479	0.03693465914581929	8.498632790926601	0.4702621770395583	0.298639639332426	0.002363120441627318	0.8988629954170679	0.004003322636455787
